sample	group	seqs_pct	seqs	bases_pct	bases
rounda/full/neb/1	human	31.18	606415	31.37	313708698
rounda/full/neb/1	unclassified	30.43	591782	24.24	242369427
rounda/full/neb/1	bacteria	23.88	464386	23.46	234607945
rounda/full/neb/1	rna-viruses	9.16	178170	13.68	136801731
rounda/full/neb/1	dna-viruses	5.18	100727	6.88	68845437
rounda/full/neb/1	ambiguous	0.17	3396	0.37	3697094
rounda/full/neb/2	human	34.53	623873	33.06	330569889
rounda/full/neb/2	unclassified	24.94	450592	21.28	212827435
rounda/full/neb/2	bacteria	23.74	428976	22.67	226735609
rounda/full/neb/2	rna-viruses	9.64	174217	14.25	142484655
rounda/full/neb/2	dna-viruses	6.87	124047	8.23	82325861
rounda/full/neb/2	ambiguous	0.27	4928	0.51	5092619
rounda/full/neb/neg	unclassified	83.38	311	73.22	148805
rounda/full/neb/neg	human	11.26	42	14.58	29632
rounda/full/neb/neg	bacteria	3.75	14	8.13	16527
rounda/full/neb/neg	rna-viruses	1.34	5	3.79	7708
rounda/full/neb/neg	dna-viruses	0.27	1	0.28	559
rounda/full/neb/neg	ambiguous	0.00	0	0.00	0
rounda/tag/neb/1	human	31.75	680808	32.67	326830720
rounda/tag/neb/1	unclassified	30.25	648613	24.66	246661476
rounda/tag/neb/1	bacteria	24.37	522465	23.35	233551933
rounda/tag/neb/1	rna-viruses	7.58	162422	12.04	120384881
rounda/tag/neb/1	dna-viruses	5.90	126449	6.94	69388091
rounda/tag/neb/1	ambiguous	0.15	3223	0.35	3454373
rounda/tag/neb/neg	unclassified	83.36	451	71.37	176915
rounda/tag/neb/neg	human	11.28	61	16.11	39931
rounda/tag/neb/neg	bacteria	2.22	12	5.59	13860
rounda/tag/neb/neg	rna-viruses	1.85	10	4.08	10119
rounda/tag/neb/neg	dna-viruses	1.29	7	2.85	7057
rounda/tag/neb/neg	ambiguous	0.00	0	0.00	0
rounda/tag/rlb/1	unclassified	99.76	160853	99.31	35386996
rounda/tag/rlb/1	bacteria	0.13	205	0.34	121449
rounda/tag/rlb/1	human	0.06	98	0.15	54362
rounda/tag/rlb/1	rna-viruses	0.03	47	0.08	26770
