sample	group	seqs_pct	seqs	bases_pct	bases
rounda/full/neb/1	unclassified	87.27	1697326	80.99	809916841
rounda/full/neb/1	AdV-3	2.42	47117	3.57	35717778
rounda/full/neb/1	HPIV-2	1.60	31145	2.96	29598550
rounda/full/neb/1	Flu-B	1.51	29416	1.17	11672208
rounda/full/neb/1	AdV-1	1.37	26705	1.74	17436699
rounda/full/neb/1	HPIV-3	0.93	18116	1.86	18643111
rounda/full/neb/1	Flu-A-H1N1-NC	0.89	17401	1.11	11066980
rounda/full/neb/1	HPIV-1	0.59	11491	1.32	13181236
rounda/full/neb/1	ambiguous	0.54	10568	1.06	10631591
rounda/full/neb/1	RSV-A	0.49	9491	0.73	7310265
rounda/full/neb/1	HPIV-4	0.47	9171	0.83	8342550
rounda/full/neb/1	Flu-A-H3N2	0.46	9017	0.69	6872569
rounda/full/neb/1	Flu-A-H1N1-NY	0.46	8870	0.62	6218755
rounda/full/neb/1	AdV-31	0.45	8802	0.53	5260613
rounda/full/neb/1	HRV-1A	0.24	4582	0.38	3848355
rounda/full/neb/1	HMPV	0.18	3551	0.31	3061745
rounda/full/neb/1	HCoV-229E	0.08	1561	0.10	952293
rounda/full/neb/1	SARS-CoV-2	0.03	546	0.03	298193
rounda/full/neb/2	unclassified	86.18	1556939	79.93	799369806
rounda/full/neb/2	AdV-3	2.78	50309	3.69	36888019
rounda/full/neb/2	AdV-1	1.96	35397	2.24	22390664
rounda/full/neb/2	HPIV-2	1.77	32001	3.09	30864155
rounda/full/neb/2	HPIV-3	1.18	21291	2.22	22202041
rounda/full/neb/2	Flu-B	1.16	21030	1.03	10250890
rounda/full/neb/2	Flu-A-H1N1-NC	0.76	13665	1.05	10485128
rounda/full/neb/2	HPIV-1	0.62	11211	1.21	12051354
rounda/full/neb/2	RSV-A	0.60	10804	0.83	8332809
rounda/full/neb/2	Flu-A-H1N1-NY	0.56	10066	0.90	8995411
rounda/full/neb/2	Flu-A-H3N2	0.52	9384	0.76	7620190
rounda/full/neb/2	ambiguous	0.47	8402	0.84	8447067
rounda/full/neb/2	AdV-31	0.38	6876	0.42	4185945
rounda/full/neb/2	HPIV-4	0.37	6732	0.61	6138126
rounda/full/neb/2	HMPV	0.34	6089	0.65	6540711
rounda/full/neb/2	HRV-1A	0.30	5433	0.46	4618662
rounda/full/neb/2	SARS-CoV-2	0.03	552	0.03	327139
rounda/full/neb/2	HCoV-229E	0.03	452	0.03	327951
rounda/full/neb/neg	unclassified	98.39	367	95.93	194964
rounda/full/neb/neg	HPIV-2	0.54	2	0.63	1286
rounda/full/neb/neg	AdV-3	0.27	1	0.28	559
rounda/full/neb/neg	HPIV-3	0.27	1	2.33	4741
rounda/full/neb/neg	RSV-A	0.27	1	0.35	707
rounda/full/neb/neg	ambiguous	0.27	1	0.48	974
rounda/full/neb/neg	AdV-1	0.00	0	0.00	0
rounda/full/neb/neg	AdV-31	0.00	0	0.00	0
rounda/full/neb/neg	Flu-A-H1N1-NC	0.00	0	0.00	0
rounda/full/neb/neg	Flu-A-H1N1-NY	0.00	0	0.00	0
rounda/full/neb/neg	Flu-A-H3N2	0.00	0	0.00	0
rounda/full/neb/neg	Flu-B	0.00	0	0.00	0
rounda/full/neb/neg	HCoV-229E	0.00	0	0.00	0
rounda/full/neb/neg	HMPV	0.00	0	0.00	0
rounda/full/neb/neg	HPIV-1	0.00	0	0.00	0
rounda/full/neb/neg	HPIV-4	0.00	0	0.00	0
rounda/full/neb/neg	HRV-1A	0.00	0	0.00	0
rounda/full/neb/neg	SARS-CoV-2	0.00	0	0.00	0
rounda/tag/neb/1	unclassified	89.61	1921131	84.09	841155485
rounda/tag/neb/1	AdV-3	1.95	41832	2.50	25056428
rounda/tag/neb/1	AdV-1	1.52	32589	1.76	17591114
