target	sample	containment1	containment1_hits	containment10	containment10_hits	target_length	target_kmers	median_nz_abundance	sample_seqs	sample_bases
HPIV-2	rounda/full/neb/1	0.99702	669	0.97019	651	15654	671	795	1944876	1000030332
HRV-1A	rounda/full/neb/1	0.96178	302	0.93949	295	7096	314	208	1944876	1000030332
HPIV-3	rounda/full/neb/1	0.95082	638	0.94635	635	15382	671	686	1944876	1000030332
RSV-A	rounda/full/neb/1	0.93769	602	0.86760	557	14855	642	84	1944876	1000030332
HMPV	rounda/full/neb/1	0.91873	520	0.67491	382	13149	566	82	1944876	1000030332
HPIV-4	rounda/full/neb/1	0.85170	626	0.80136	589	17132	735	202	1944876	1000030332
AdV-3	rounda/full/neb/1	0.85084	1312	0.73541	1134	35072	1542	405	1944876	1000030332
Flu-A-H1N1-NC	rounda/full/neb/1	0.81565	469	0.79304	456	13292	575	735	1944876	1000030332
HPIV-1	rounda/full/neb/1	0.81443	553	0.78792	535	15412	679	250	1944876	1000030332
Flu-A-H1N1-NY	rounda/full/neb/1	0.73427	420	0.70979	406	13130	572	598	1944876	1000030332
AdV-1	rounda/full/neb/1	0.71930	1107	0.60039	924	35676	1539	225	1944876	1000030332
Flu-B	rounda/full/neb/1	0.64344	397	0.54457	336	14222	617	197	1944876	1000030332
Flu-A-H3N2	rounda/full/neb/1	0.59240	343	0.57340	332	13290	579	1183	1944876	1000030332
AdV-31	rounda/full/neb/1	0.43333	637	0.38707	569	33755	1470	413	1944876	1000030332
HCoV-229E	rounda/full/neb/1	0.13758	160	0.10146	118	26841	1163	85	1944876	1000030332
SARS-CoV-2	rounda/full/neb/1	0.02812	37	0.02356	31	29778	1316	107	1944876	1000030332
TOTAL	rounda/full/neb/1	0.64406	8792	0.58230	7949	0	13651	356	1944876	1000030332
HPIV-2	rounda/full/neb/2	0.99702	669	0.98808	663	15654	671	1070	1806633	1000036068
HPIV-3	rounda/full/neb/2	0.98808	663	0.98659	662	15382	671	748	1806633	1000036068
HRV-1A	rounda/full/neb/2	0.95223	299	0.92994	292	7096	314	315	1806633	1000036068
AdV-3	rounda/full/neb/2	0.92023	1419	0.88327	1362	35072	1542	506	1806633	1000036068
RSV-A	rounda/full/neb/2	0.91433	587	0.85826	551	14855	642	83	1806633	1000036068
HMPV	rounda/full/neb/2	0.90459	512	0.88163	499	13149	566	188	1806633	1000036068
HPIV-4	rounda/full/neb/2	0.87075	640	0.77007	566	17132	735	149	1806633	1000036068
AdV-1	rounda/full/neb/2	0.79337	1221	0.70370	1083	35676	1539	321	1806633	1000036068
Flu-A-H1N1-NC	rounda/full/neb/2	0.77913	448	0.74261	427	13292	575	908	1806633	1000036068
HPIV-1	rounda/full/neb/2	0.77614	527	0.74374	505	15412	679	241	1806633	1000036068
Flu-A-H1N1-NY	rounda/full/neb/2	0.77448	443	0.71853	411	13130	572	618	1806633	1000036068
Flu-B	rounda/full/neb/2	0.70178	433	0.68071	420	14222	617	250	1806633	1000036068
Flu-A-H3N2	rounda/full/neb/2	0.63903	370	0.58377	338	13290	579	652	1806633	1000036068
AdV-31	rounda/full/neb/2	0.48980	720	0.44082	648	33755	1470	398	1806633	1000036068
HCoV-229E	rounda/full/neb/2	0.07309	85	0.05933	69	26841	1163	21	1806633	1000036068
SARS-CoV-2	rounda/full/neb/2	0.02356	31	0.02356	31	29778	1316	237	1806633	1000036068
TOTAL	rounda/full/neb/2	0.66420	9067	0.62464	8527	0	13651	392	1806633	1000036068
HPIV-3	rounda/full/neb/neg	0.13860	93	0.00000	0	15382	671	1	373	203231
Flu-A-H1N1-NY	rounda/full/neb/neg	0.02098	12	0.00000	0	13130	572	1	373	203231
HPIV-2	rounda/full/neb/neg	0.02086	14	0.00000	0	15654	671	1	373	203231
RSV-A	rounda/full/neb/neg	0.01869	12	0.00000	0	14855	642	1	373	203231
Flu-A-H3N2	rounda/full/neb/neg	0.01727	10	0.00000	0	13290	579	1	373	203231
AdV-3	rounda/full/neb/neg	0.00649	10	0.00000	0	35072	1542	1	373	203231
AdV-1	rounda/full/neb/neg	0.00000	0	0.00000	0	35676	1539	0	373	203231
AdV-31	rounda/full/neb/neg	0.00000	0	0.00000	0	33755	1470	0	373	203231
Flu-A-H1N1-NC	rounda/full/neb/neg	0.00000	0	0.00000	0	13292	575	0	373	203231
Flu-B	rounda/full/neb/neg	0.00000	0	0.00000	0	14222	617	0	373	203231
HMPV	rounda/full/neb/neg	0.00000	0	0.00000	0	13149	566	0	373	203231
HPIV-1	rounda/full/neb/neg	0.00000	0	0.00000	0	15412	679	0	373	203231
