run	barcode	condition	replicate	name	run_name	full_name
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode05	full/neb	1	full/neb/1	Round A	rounda/full/neb/1
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode06	full/neb	2	full/neb/2	Round A	rounda/full/neb/2
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode07	full/neb	neg	full/neb/neg	Round A	rounda/full/neb/neg
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode20	tag/neb	1	tag/neb/1	Round A	rounda/tag/neb/1
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode21	tag/neb	neg	tag/neb/neg	Round A	rounda/tag/neb/neg
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode22	tag/rlb	1	tag/rlb/1	Round A	rounda/tag/rlb/1
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode23	tag/rlb	2	tag/rlb/2	Round A	rounda/tag/rlb/2
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode24	tag/rlb	neg	tag/rlb/neg	Round A	rounda/tag/rlb/neg
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode28	tag/neb+rlb	1	tag/neb+rlb/1	Round A	rounda/tag/neb+rlb/1
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode29	tag/neb+rlb	2	tag/neb+rlb/2	Round A	rounda/tag/neb+rlb/2
DS_NEBtagged_sequenase_Zepto_18_11_2025	barcode30	tag/neb+rlb	neg	tag/neb+rlb/neg	Round A	rounda/tag/neb+rlb/neg
MW_FRM_cDNA_NEB_RLB_04092025	barcode15	full/neb	1	full/neb/1	SMART-9N	smart9n/full/neb/1
MW_FRM_cDNA_NEB_RLB_04092025	barcode16	full/neb	2	full/neb/2	SMART-9N	smart9n/full/neb/2
MW_FRM_cDNA_NEB_RLB_04092025	barcode19	full/neb	neg	full/neb/neg	SMART-9N	smart9n/full/neb/neg
MW_FRM_cDNA_NEB_RLB_04092025	barcode17	full/rlb	1	full/rlb/1	SMART-9N	smart9n/full/rlb/1
MW_FRM_cDNA_NEB_RLB_04092025	barcode18	full/rlb	2	full/rlb/2	SMART-9N	smart9n/full/rlb/2
MW_FRM_cDNA_NEB_RLB_04092025	barcode20	full/rlb	neg	full/rlb/neg	SMART-9N	smart9n/full/rlb/neg
MW_FRM_cDNA_NEB_RLB_04092025	barcode13	full/neb+rlb	1	full/neb+rlb/1	SMART-9N	smart9n/full/neb+rlb/1
